,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
1602,Fukushima,"24 August, 2011",Fukushima,Iwaki City,"22 August, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,800,Not detectable,,"Fukushima Agricultural Technology
Centre",800,ND,s,s,
1697,Fukushima,"31 August, 2011",Fukushima,"Iwaki City
(inland waters)","29 August, 2011",_______,"Arame seaweed
(Eisenia bicyclis)",,131,Not detectable,,"Fukushima Agricultural Technology
Centre",131,ND,s,s,
2008,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,390,Not detectable,,"Fukushima Agricultural Technology
Centre",390,ND,s,s,
2166,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,102,Not detectable,,"Fukushima Agricultural Technology
Centre",102,ND,s,s,
3448,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"31 October,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,71,Not detectable,,"Fukushima Agricultural Technology
Centre",71,ND,s,s,
3961,Fukushima,"16 November ,2011",Fukushima,Iwaki City,"10 November ,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,43,Not detectable,,"Fukushima Agricultural Technology
Centre",43,ND,s,s,
4403,Fukushima,"30 November ,2011",Fukushima,Iwaki City,"27 November ,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,164,Not detectable,,"Fukushima Agricultural Technology
Centre",164,ND,s,s,
4736,Fukushima,"14 December,2011",Fukushima,Iwaki City,"11 December,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,72,Not detectable,,"Fukushima Agricultural Technology
Centre",72,ND,s,s,
4836,Chiba,"19 December,2011",Chiba,"Iwawada
Fishing Port","15 December,2011",_______,"Arame seaweed
(Eisenia bicyclis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
5151,Fukushima,"28 December,2011",Fukushima,Iwaki City,"23 December,2011",_______,"Arame seaweed
(Eisenia bicyclis)",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",29,ND,s,s,
5371,Fukushima,"18 January,2012",Fukushima,Iwaki City,"15 January,2012",_______,"Arame seaweed
(Eisenia bicyclis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
5857,Kanagawa,"30 January,2012",Kanagawa,"Yokosuka City
(Kamoi Port)","24 January,2012",_______,"Arame seaweed
(Eisenia bicyclis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,s,
6071,Fukushima,"8 February,2012",Fukushima,Iwaki City,"5 February,2012",_______,"Arame seaweed
(Eisenia bicyclis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
6627,Fukushima,"22 February,2012",Fukushima,Iwaki City,"20 February,2012",_______,"Arame seaweed(wild)
(Eisenia bicyclis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7223,Fukushima,"7 March,2012",Fukushima,Iwaki City,"5 March,2012",_______,"Arame seaweed(wild)
(Eisenia bicyclis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
8184,Fukushima,"28 March,2012",Fukushima,Iwaki City,"22 March,2012",_______,"Arame seaweed(wild)
(Eisenia bicyclis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
1603,Fukushima,"24 August, 2011",Fukushima,Iwaki City,"18 August, 2011",___,Sea tangle (Laminaria),,113,Not detectable,,"Fukushima Agricultural Technology
Centre",113,ND,s,s,
1325,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"27 July, 2011",___,"Sea tangle
(Laminaria)",,95,Not detectable,,"Fukushima Agricultural Technology
Centre",95,ND,s,s,
3452,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Massaki,Ofunato
City","1 September,2011",___,"Sea tangle
(Laminaria)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
3453,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Taneichi, Hirono
Town, Kunohe-gun","9 September,2011",___,"Sea tangle
(Laminaria)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
3455,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Taro, Miyako City","12 October,2011",___,"Sea tangle
(Laminaria)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7278,Yokohama City,"8 March,2012",Kanagawa,"Offshore
Yokohama City","7 March,2012",___,"Sea tangle
(Laminaria)",Not detectable,,Not detectable,,"Yokohama City Institute of Public
Health",ND,ND,s,s,
3449,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Omoe, Miyako
City","30 August, 2011","_________
____","Dried sea tangle
(processed)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
3450,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Omoe, Miyako
City","30 August, 2011","_________
____","Dried sea tangle
(processed)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
3451,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Massaki,Ofunato
City","30 August, 2011","_________
____","Dried sea tangle
(processed)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
3454,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Taneichi, Hirono
Town, Kunohe-gun","9 September,2011","_________
____","Dried sea tangle
(processed)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
3456,National Federation of Fisheries Co- operative Associations,"20 October,2011",Iwate,"Taro, Miyako City","12 October,2011","_________
____","Dried sea tangle
(processed)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7486,Fukushima,"14 March,2012",Fukushima,Iwaki City,"5 March,2012",_______,"Sea tangle(wild)
(Laminaria)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
8564,National Federation of Fisheries Co- operative Associations,"29 March,2012",Iwate,"Koganji, Miyako City",_,____,Sea tangle (Laminaria) (dried)(processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
518,Ibaraki,"7 June, 2011",Ibaraki,Oarai Town,"7 June, 2011","____
________","Dried  tsunomata seaweed
(processed)",51,,110,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",51,110,s,s,
3037,Tokyo,"20 October,2011",Tokyo,"Oshima Town
(Habu Port)","18 October,2011",____,"Tengusa seaweed
(Gelidium  sp.)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,s,
3038,Tokyo,"20 October,2011",Tokyo,"Niijima Village
(Niijima Port)","18 October,2011",____,"Tengusa seaweed
(Gelidium  sp.)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,s,
3039,Tokyo,"20 October,2011",Tokyo,Niijima Village (Wakago Fishing Port),"18 October,2011",____,"Tengusa seaweed
(Gelidium  sp.)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,s,
3040,Tokyo,"20 October,2011",Tokyo,"Kozushima Village
(Kozushima Port)","18 October,2011",____,"Tengusa seaweed
(Gelidium  sp.)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,s,
3041,Tokyo,"20 October,2011",Tokyo,Miyake Village (Yunohama Fishing Port),"18 October,2011",____,"Tengusa seaweed
(Gelidium  sp.)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,s,
7022,Kanagawa,"2 March,2012",Kanagawa,Zushi City (Kotsubo Fishing Port),"28 February,2012",____,"Tengusa seaweed
(Gelidium  sp.)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
520,Kanagawa,"9 June, 2011",Kanagawa,Miura City (Shore of Jogashima),"2 June, 2011",____,"Tengusa seaweed
(Gelidium sp.)",Not detectable,,8.5,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,8.5,s,s,
121,Tokyo,"19 April, 2011",Tokyo,"Toshima port
(Toshima Village)","3 April, 2011",_____,"Tosakanori seaweed
(Meristotheca papulosa)",Not detectable,,,4.91,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,4.91,s,s,
8332,Tokyo,"28 March,2012",Tokyo,"Kozushima Village
(Kozushima Port)","21 March,2012",_____,"Tosakanori seaweed
(Meristotheca papulosa)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
5009,Hyogo,"16 December,2011",Hyogo,"Sea area of
Higashi-harima","10 December,2011",______,"Laver (wet)
(Porphyra  yezoensis)",Not detectable,,Not detectable,,Hyogo Prefectural Institute of Public Health and Consumer Sciences Public Health Science Research Center,ND,ND,s,s,
5310,Chiba,"16 January,2012",Chiba,"Shore of
Katsuura City","11 January,2012",____,"Habanori seaweed
(Petalonia  binghamiae)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,s,
4482,Chiba,"2 December,2011",Chiba,"Shore of
Kamogawa City","29 November ,2011",____,"Habanori seaweed
(Petalonia  binghamiae)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,s,
4831,Kanagawa,"19 December,2011",Kanagawa,Chigasaki City (Chigasaki Fishing Port),"7 December,2011",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,s,
6697,Chiba,"24 February,2012",Chiba,Kaneya cultivation area,"20 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
6807,Chiba,"27 February,2012",Chiba,Hama-namegawa cultivation area,"23 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
6808,Chiba,"27 February,2012",Chiba,Chikura cultivation area,"22 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
6809,Chiba,"27 February,2012",Chiba,Shirahama cultivation area,"22 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
6810,Chiba,"27 February,2012",Chiba,Suzaki cultivation area,"23 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,s,
7017,Kanagawa,"2 March,2012",Kanagawa,Miura City (Shore of Jyogashima),"26 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7018,Kanagawa,"2 March,2012",Kanagawa,Yokosuka City (Sajima Fishing Port),"27 February,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7270,Kanagawa,"8 March,2012",Kanagawa,Miura City (Maguchi Fishing Port),"4 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7355,Chiba,"12 March,2012",Chiba,Futtsu cultivation area,"6 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,s,
7571,Chiba,"16 March,2012",Chiba,Amatsu cultivation area,"13 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7879,Kanagawa,"23 March,2012",Kanagawa,Yokosuka City (Nagai Fishing Port),"13 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,s,
7880,Kanagawa,"23 March,2012",Kanagawa,Miura City (Kaneda Fishing Port),"19 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7978,Chiba,"26 March,2012",Chiba,Shirahama cultivation area,"26 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
8326,Ibaraki,"28 March,2012",Ibaraki,"Offshore
Hitachinaka City","22 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
8361,Chiba,"29 March,2012",Chiba,Chikura cultivation area,"26 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
8417,Ibaraki,"30 March,2012",Ibaraki,"Shore of
Hitachi City","27 March,2012",___,"Hijiki  seaweed
(Hizikia fusiformis)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,s,
36,Chiba,"5,April, 2011",Chiba,"Kamogawa city
Amatsu","24,March, 2011",___,"Hijiki seaweed
(Hizikia fusiformis)",Not detectable,,,65,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,65,s,s,
88,Kanagawa,"13,April, 2011",Kanagawa,Kaneda,"4,April, 2011",___,"Hijiki seaweed
(Hizikia fusiformis)",Not detectable,,,216,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,216,s,s,
125,Kanagawa,"19 April, 2011",Kanagawa,kaneda,"4 April, 2011",___,"Hijiki seaweed
(Hizikia fusiformis)",Not detectable,,,9.48,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,9.48,s,s,
397,Fukushima,"26 May, 2011",Fukushima,Iwaki City,"21 May, 2011",___,"Hijiki seaweed
(Hizikia fusiformis)","1,100",,"2,200",,Japan Chemical Analysis  Center,1100,2200,s,s,
1326,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"27 July, 2011",___,"Hijiki seaweed
(Hizikia fusiformis)",,110,Not detectable,,"Fukushima Agricultural Technology
Centre",110,ND,s,s,
7977,Chiba,"26 March,2012",Chiba,Amatsu cultivation area,"26 March,2012","___
________
____",Hijiki  seaweed (Hizikia fusiformis) (dried)(processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
4737,Fukushima,"14 December,2011",Fukushima,Soma City,"12 December,2011",_____,"Green laver
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
5372,Fukushima,"18 January,2012",Fukushima,Soma City,"13 January,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
5854,Fukushima,"1 February,2012",Fukushima,Soma City,"26 January,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
6072,Fukushima,"8 February,2012",Fukushima,Soma City,"1 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",,22,Not detectable,,"Fukushima Agricultural Technology
Centre",22,ND,s,s,
6416,Fukushima,"15 February,2012",Fukushima,Soma City,"9 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",,28,Not detectable,,"Fukushima Agricultural Technology
Centre",28,ND,s,s,
6628,Fukushima,"22 February,2012",Fukushima,Soma City,"17 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",,47,Not detectable,,"Fukushima Agricultural Technology
Centre",47,ND,s,s,
6971,Fukushima,"29 February,2012",Fukushima,Soma City,"23 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7224,Fukushima,"7 March,2012",Fukushima,Soma City,"1 March,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7489,Fukushima,"14 March,2012",Fukushima,Soma City,"8 March,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7789,Fukushima,"21 March,2012",Fukushima,Soma City,"15 March,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
5735,Ibaraki,"31 January,2012",Ibaraki,"Shore of
Hitachinaka City","26 January,2012",______,"Jelly moss
(Gloiopeltis  furcata)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,s,
5919,Miyagi,"3 February,2012",Miyagi,Shore of Ajishima,"25 January,2012",___,"Funori seaweed
(Gloiopeltis  sp.)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,s,
7049,Miyagi,"2 March,2012",Miyagi,"Shore of
Amijishima","22 February,2012",___,"Funori seaweed
(Gloiopeltis  sp.)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,s,
8483,National Federation of Fisheries Co- operative Associations,"29 February,2012",Miyagi,"Funakoshi, Ogatsu Towa, Ishinomaki City",_,"_______
____",Funori seaweed (Gloiopeltis  sp.) (dyied)(processed),Not detectable,,Not detectable,,"Public Health Society of Miyagi
Prefecture",ND,ND,s,s,
8542,National Federation of Fisheries Co- operative Associations,"26 March,2012",Miyagi,"Shizugawa, Sanriku Town, Motoyoshi-gun",_,"_______
____",Funori seaweed (Gloiopeltis  sp.) (dyied)(processed),Not detectable,,Not detectable,,"Public Health Society of Miyagi
Prefecture",ND,ND,s,s,
8567,National Federation of Fisheries Co- operative Associations,"29 March,2012",Iwate,"Yoshihama, Sanriku Town, Ofunato City",_,"_______
____",Funori seaweed (Gloiopeltis  sp.) (dyied)(processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
606,National Federation of Fisheries Co- operative Associations,"15 June, 2011",Iwate,"Hirono Town, Kunohe-gun (Taneichi, Okonaihama)","13 June, 2011",______,kelp,Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
607,National Federation of Fisheries Co- operative Associations,"15 June, 2011",Iwate,"Hirono Town, Kunohe-gun (Taneichi, Okonaihama)","13 June, 2011","__________
_____",kelp (dried) (processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7050,Miyagi,"2 March,2012",Miyagi,"Shore of
Amijishima","22 February,2012",___,"_Rigid Hornwort
(Ceratophyllum demersum)",Not detectable,,Not detectable,,"Agriculture,  Forestry and Fisheries
Department, Miyagi prefecture",ND,ND,s,s,
8418,Ibaraki,"30 March,2012",Ibaraki,"Shore of
Hitachi City","27 March,2012",___,"_Rigid Hornwort
(Ceratophyllum demersum)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,s,
8566,National Federation of Fisheries Co- operative Associations,"29 March,2012",Iwate,"Hirata,Oaza, Kamaishi City",_,"_______
____",_Rigid Hornwort (Ceratophyllum demersum) (dried)(processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7487,Fukushima,"14 March,2012",Fukushima,Iwaki City,"5 March,2012",_______,"_Rigid Hornwort(wild)
(Ceratophyllum demersum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
8565,National Federation of Fisheries Co- operative Associations,"29 March,2012",Iwate,"Koganji, Miyako City",_,___(___,Arame seaweed (Eisenia bicyclis) (boiled)(processed),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
313,Fukushima,"19 May, 2011",Fukushima,Iwaki City,"16 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",,1200,,380,Japan Chemical Analysis  Center,1200,380,s,s,
314,Fukushima,"19 May, 2011",Fukushima,Iwaki City,"16 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",,280,,140,Japan Chemical Analysis  Center,280,140,s,s,
356,National Federation of Fisheries Co- operative Associations,"24 May, 2011",Iwate,"Omoe, Miyako
City","30 April, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
357,National Federation of Fisheries Co- operative Associations,"24 May, 2011",Iwate,"Okonaihama,. Hirono Town,","3 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
358,National Federation of Fisheries Co- operative Associations,"24 May, 2011",Iwate,"Okonaihama,. Hirono Town,","9 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
480,National Federation of Fisheries Co- operative Associations,"2 June, 2011",Iwate,"Hirono Town, Kunohe-gun (Okonaihama)","16 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
482,National Federation of Fisheries Co- operative Associations,"2 June, 2011",Iwate,"Noda Village, Kunohe-gun (Noda)","17 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
483,National Federation of Fisheries Co- operative Associations,"2 June, 2011",Iwate,"Kuji City
(Futagoura)","17 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
484,National Federation of Fisheries Co- operative Associations,"2 June, 2011",Iwate,"Hirono Town, Kunohe-gun (Okonaihama)","18 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
485,National Federation of Fisheries Co- operative Associations,"2 June, 2011",Iwate,"Taneichi, Hirono Town, Kunohe-gun (Kawajiri)","18 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
486,National Federation of Fisheries Co- operative Associations,"2 June, 2011",Iwate,"Taneichi, Hirono Town, Kunohe-gun (Kawajiri)","19 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
601,National Federation of Fisheries Co- operative Associations,"15 June, 2011",Iwate,Tanohata Village,"24 May, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
603,National Federation of Fisheries Co- operative Associations,"15 June, 2011",Iwate,Fudai Village,"3 June, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
604,National Federation of Fisheries Co- operative Associations,"15 June, 2011",Iwate,Kuji City (Kuki),"8 June, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
1124,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",,71,Not detectable,,"Fukushima Agricultural Technology
Centre",71,ND,s,s,
1125,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",___,"Wakame seaweed
(Undaria pinnatifida)",,56,Not detectable,,"Fukushima Agricultural Technology
Centre",56,ND,s,s,
